ID,Label,planet
 Little Prince, Little Prince,B612
 Rose, Rose,B612
 Roses on Earth, Roses on Earth,Earth
 Drunkard, Drunkard,Asteroid 1
 Lamplighter, Lamplighter,Asteroid 2
 Vain Man, Vain Man,Asteroid 3
 Snake, Snake,Earth
 Three-Petaled Flower, Three-Petaled Flower,Earth
 Birds, Birds,B612
 Businessman, Businessman,Asteroid 4
 Pilot, Pilot,Earth
 Geographer, Geographer,Asteroid 5
 Railway Switchman, Railway Switchman,Asteroid 6
 King, King,Asteroid 7
 Salesclerk, Salesclerk,Earth
 Fox, Fox,Earth
 Sheep, Sheep,Earth
 Airplane, Airplane,Earth
 Baobab Tree, Baobab Tree,B612
 Little Prince’s Planet (B-612), Little Prince’s Planet (B-612),B612
 Sun, Sun,Galaxy
 Wind, Wind,B612
 Earth, Earth, Earth
 Mountains on Earth, Mountains on Earth,Earth
 Flower on Earth, Flower on Earth,Earth
 Tiger, Tiger,B612
 Caterpillar, Caterpillar,B612
 Caravan, Caravan,Earth
 Drawing of a Boa Constrictor, Drawing of a Boa Constrictor,Earth
 Turkish Astronomer, Turkish Astronomer,Earth
 Man with a Long Back, Man with a Long Back,Asteroid 8
Adult,Adult,Earth
 Explorer, Explorer,Galaxy
 King’s Planet, King’s Planet,Earth
 Chicken, Chicken,Earth
